,RMSE
2,0.37992
3,0.69184
4,0.90915
5,1.22335
6,1.33478
7,1.43286
8,1.47761
9,1.4242
10,1.56574
11,1.73619
12,1.79691
13,1.7774
14,1.76921
15,1.73268
16,1.67925
17,1.74319
18,1.75736
19,1.76495
20,1.76391
21,1.75681
22,1.7097
23,1.6944
