,RMSE
2,0.20638
3,0.21825
4,0.22388
5,0.22338
6,0.22085
7,0.22134
8,0.21709
9,0.21396
10,0.21258
11,0.2117
12,0.2114
13,0.2101
14,0.2077
15,0.20721
16,0.20696
17,0.20697
18,0.20676
19,0.20553
20,0.20642
21,0.20294
22,0.20337
23,0.2028
24,0.20316
25,0.20372
