,RMSE
2,0.63957
3,0.51062
4,0.41335
5,0.42461
6,0.38145
7,0.36598
8,0.33164
9,0.33432
10,0.32966
11,0.35378
12,0.35057
13,0.31493
14,0.28388
15,0.30194
16,0.28389
17,0.27824
18,0.28432
19,0.29294
20,0.27624
21,0.25372
22,0.24454
23,0.21511
