,RMSE
2,0.22634
3,0.18601
4,0.18838
5,0.20358
6,0.20611
7,0.20234
8,0.19556
9,0.1958
10,0.19601
11,0.19289
12,0.19283
13,0.19482
14,0.19562
15,0.19641
16,0.19656
17,0.19572
18,0.19362
19,0.19316
20,0.19322
21,0.19112
22,0.18998
23,0.18961
24,0.18863
25,0.19025
