,RMSE
2,0.70345
3,0.54267
4,0.64535
5,0.46749
6,0.20755
7,0.24028
8,0.55605
9,1.08086
10,1.44496
11,1.3463
12,1.30021
13,1.27399
14,1.20705
15,1.18077
16,1.19941
17,1.15921
18,1.124
19,1.08629
20,1.07158
21,1.07517
22,1.13813
23,1.09111
