,RMSE
2,0.39066
3,0.40162
4,0.55454
5,0.4409
6,0.5123
7,0.82836
8,0.78066
9,0.70808
10,0.52574
11,0.54765
12,0.49816
13,0.5409
14,0.51672
15,0.5858
16,0.60261
17,0.69201
18,0.89791
19,0.90552
20,0.94182
21,0.94423
22,0.90118
23,0.89603
24,0.92715
25,0.92614
