N_DISC,T,estimated_epo
2,0.33221182227134705,-0.74275327
2,0.5783134698867798,-1.0811309
3,0.28732237219810486,-0.74526477
3,0.4552024006843567,-0.92401624
3,0.6232631802558899,-1.0420723
4,0.2593258023262024,-0.71629167
4,0.4050978422164917,-0.81369096
4,0.5055218935012817,-1.0609076
4,0.6511051058769226,-1.0232487
5,0.23942643404006958,-0.68623966
5,0.3730745315551758,-0.8114293
5,0.4559340178966522,-0.9900578
5,0.5371714234352112,-1.0571896
5,0.6707068681716919,-0.9716544
6,0.22428441047668457,-0.65826625
6,0.3505495488643646,-0.83807975
6,0.42212554812431335,-0.7975234
6,0.48827922344207764,-1.0672349
6,0.5603446364402771,-1.0845277
6,0.6859933137893677,-0.95573646
7,0.2116125375032425,-0.62840635
7,0.3324277698993683,-0.82954806
7,0.3976549804210663,-0.6863222
7,0.45644208788871765,-1.1317363
7,0.5117673873901367,-1.0277236
7,0.5782955288887024,-0.99324006
7,0.6986345648765564,-0.9922559
8,0.2011583298444748,-0.58200777
8,0.3174932897090912,-0.83123124
8,0.3796265721321106,-0.8579933
8,0.4305691123008728,-0.79893726
8,0.48045438528060913,-1.1438844
8,0.5305894613265991,-0.9301744
8,0.5930607914924622,-1.0126134
8,0.7091494202613831,-0.9955822
9,0.19258780777454376,-0.5470814
9,0.30516281723976135,-0.9080682
9,0.3646431267261505,-0.78937054
9,0.4099974036216736,-0.616745
9,0.45687997341156006,-1.1609304
9,0.49872973561286926,-1.0224341
9,0.5468535423278809,-1.0233158
9,0.6047350764274597,-1.039723
9,0.7177751064300537,-0.95161676
10,0.18466030061244965,-0.4494984
10,0.2941925525665283,-0.929291
10,0.35114577412605286,-0.8024905
10,0.3950032889842987,-0.8191802
10,0.4360571801662445,-0.85926944
10,0.47581085562705994,-1.1038393
10,0.5143702030181885,-1.054935
10,0.5599727034568787,-1.0358949
10,0.6154847145080566,-1.0371975
10,0.7259289622306824,-0.8510343
11,0.17808111011981964,-0.43985814
11,0.2846859395503998,-0.8955113
11,0.3398960828781128,-0.8883317
11,0.3826058804988861,-0.7843319
11,0.4177921712398529,-0.6225396
11,0.4571572542190552,-1.2898719
11,0.4910556375980377,-1.0595284
11,0.5277590155601501,-0.9590551
11,0.5713730454444885,-1.0883539
11,0.6243417859077454,-1.0303651
11,0.7331404089927673,-0.8115622
12,0.17218232154846191,-0.4035246
12,0.276386559009552,-0.9160933
12,0.32983073592185974,-0.82089806
12,0.3711443543434143,-0.85008085
12,0.404328316450119,-0.70331824
12,0.4398162364959717,-0.903314
12,0.4726375639438629,-1.0788794
12,0.5040150880813599,-1.0146263
12,0.5399041175842285,-1.0029798
12,0.5809083580970764,-1.1252999
12,0.632181704044342,-1.0599654
12,0.7398049235343933,-0.8058557
13,0.16665807366371155,-0.4117109
13,0.26868754625320435,-0.81548864
13,0.3209441900253296,-0.83853024
13,0.36090394854545593,-0.82116205
13,0.39367571473121643,-0.8278599
13,0.42381370067596436,-0.536629
13,0.4572574496269226,-1.3536288
13,0.4858717620372772,-1.1464722
13,0.5156474113464355,-0.8053631
13,0.5506518483161926,-0.9662182
13,0.5888895988464355,-1.1347764
13,0.6393944025039673,-1.0804143
13,0.7460111975669861,-0.76667804
14,0.16176675260066986,-0.4678027
14,0.2614583373069763,-0.7784576
14,0.31326887011528015,-0.8831626
14,0.3515866994857788,-0.7435452
14,0.3841947019100189,-0.80369276
14,0.4110211730003357,-0.5746809
14,0.44254976511001587,-1.0615437
14,0.4703344702720642,-1.1710044
14,0.4971641004085541,-1.0654937
14,0.5264734625816345,-0.96211064
14,0.5600404739379883,-0.9487382
14,0.5965505242347717,-1.0104909
14,0.6456260681152344,-1.1943437
14,0.7516430020332336,-0.74813855
15,0.1575705111026764,-0.4683275
15,0.25526124238967896,-0.7489725
15,0.3060630261898041,-0.83511823
15,0.3430875539779663,-0.8184689
15,0.3751857280731201,-0.84550047
15,0.40117576718330383,-0.7191494
15,0.4284040033817291,-0.5318765
15,0.45737990736961365,-1.4329289
15,0.48200729489326477,-0.9521902
15,0.5070285201072693,-0.96487427
15,0.5357599258422852,-1.1524496
15,0.5684904456138611,-1.0129874
15,0.6038243770599365,-0.837238
15,0.6511328816413879,-1.2292111
15,0.7565182447433472,-0.75617087
16,0.15316462516784668,-0.44097182
16,0.2491520345211029,-0.72916985
16,0.2993689477443695,-0.8286035
16,0.3356175124645233,-0.82087237
16,0.3664872348308563,-0.7594433
16,0.39276590943336487,-0.94835633
16,0.4164523780345917,-0.399988
16,0.44468581676483154,-1.1425258
16,0.46866366267204285,-1.1975344
16,0.4922451376914978,-1.0514525
16,0.5165180563926697,-0.89619094
16,0.5446606874465942,-0.92407954
16,0.5757784247398376,-1.1817571
16,0.6103431582450867,-0.8057755
16,0.656697154045105,-1.1592181
16,0.7616016268730164,-0.8190805
17,0.1495981514453888,-0.4656241
17,0.24408027529716492,-0.6762403
17,0.2933180034160614,-0.7755004
17,0.3286387622356415,-0.9368233
17,0.35862863063812256,-0.8055817
17,0.3852480947971344,-0.81763625
17,0.40692293643951416,-0.7070041
17,0.4320564568042755,-0.5751176
17,0.4574679732322693,-1.3887043
17,0.4788368046283722,-0.93459123
17,0.5009350180625916,-1.156173
17,0.5257616639137268,-0.935416
17,0.5526942014694214,-0.9491596
17,0.5818379521369934,-1.2912278
17,0.6163469552993774,-0.6820676
17,0.6613601446151733,-1.2225136
17,0.7657358646392822,-0.7385945
18,0.14651820063591003,-0.4068161
18,0.23907245695590973,-0.6884484
18,0.28796324133872986,-0.86424637
18,0.32236248254776,-0.9218945
18,0.3516670763492584,-0.7028893
18,0.3776191771030426,-0.86382884
18,0.39920514822006226,-0.7297352
18,0.4207896590232849,-0.49643388
18,0.44638189673423767,-1.1292121
18,0.4673781096935272,-1.1299473
18,0.4883519411087036,-1.3238087
18,0.5091075301170349,-0.65571916
18,0.5333331823348999,-1.1052989
18,0.5603739619255066,-0.9420756
18,0.5873268246650696,-1.1573284
18,0.6221434473991394,-0.88858044
18,0.6657360792160034,-1.1555185
18,0.7693495154380798,-0.7311154
19,0.1433076560497284,-0.37494907
19,0.2342008352279663,-0.7114482
19,0.28253817558288574,-0.72211486
19,0.31633639335632324,-0.8713062
19,0.34497225284576416,-0.82957786
19,0.37064996361732483,-0.67368656
19,0.392326295375824,-0.9035289
19,0.4115715026855469,-0.66424626
19,0.4348626136779785,-0.6731794
19,0.4575273096561432,-1.396573
19,0.47656118869781494,-0.91055274
19,0.4964807331562042,-1.2353498
19,0.5170812010765076,-0.78226537
19,0.54049152135849,-1.0316042
19,0.5669419765472412,-0.99781257
19,0.5930102467536926,-1.0559475
19,0.62770676612854,-1.0535263
19,0.670184850692749,-1.081162
19,0.7731478214263916,-0.733567
20,0.1398172527551651,-0.37712437
20,0.22950336337089539,-0.49202436
20,0.2772357165813446,-1.0057564
20,0.3111494183540344,-0.75069255
20,0.33892321586608887,-0.86436975
20,0.36336833238601685,-0.7489682
20,0.38591471314430237,-0.85886717
20,0.4040919244289398,-0.7533103
20,0.4243887662887573,-0.58674484
20,0.44772547483444214,-1.0943301
20,0.46636763215065,-1.2393223
20,0.4852541983127594,-0.9095054
20,0.5035454034805298,-1.0702696
20,0.5251949429512024,-1.023217
20,0.5472472906112671,-0.8408256
20,0.5726980566978455,-1.1945156
20,0.5983549356460571,-0.90094906
20,0.6326144933700562,-1.1672077
20,0.6747365593910217,-1.0635439
20,0.7771214246749878,-0.6886185
21,0.13730429112911224,-0.33388147
21,0.22595717012882233,-0.43438214
21,0.27235835790634155,-1.0824932
21,0.30640512704849243,-0.8416651
21,0.3331645131111145,-0.83225536
21,0.3574502766132355,-0.781123
21,0.3794576823711395,-0.85735404
21,0.39775025844573975,-0.6641304
21,0.41575706005096436,-0.5375046
21,0.43715062737464905,-0.9495889
21,0.4576249122619629,-1.3768055
21,0.4745383858680725,-0.96459866
21,0.4929010570049286,-1.0969537
21,0.5106688737869263,-0.75400835
21,0.5317322015762329,-1.1157091
21,0.5541215538978577,-0.8998555
21,0.5777384042739868,-1.1094681
21,0.6032809615135193,-0.8930564
21,0.6367257237434387,-1.1573436
21,0.678427517414093,-1.059653
21,0.7798948884010315,-0.703708
22,0.13411015272140503,-0.3917368
22,0.22205208241939545,-0.48757336
22,0.2676793038845062,-0.98029655
22,0.30169257521629333,-0.74785644
22,0.3281255066394806,-0.95708156
22,0.351666659116745,-0.8168
22,0.3734150528907776,-0.655805
22,0.3918987810611725,-0.9001886
22,0.4081401526927948,-0.75370854
22,0.4274442493915558,-0.5009422
22,0.4487614333629608,-1.1757989
22,0.46555304527282715,-1.2934529
22,0.482544481754303,-0.7072976
22,0.49956685304641724,-1.3499346
22,0.5176641941070557,-0.77721095
22,0.5377428531646729,-1.0681399
22,0.5605517029762268,-0.91372937
22,0.5821945071220398,-1.2000067
22,0.6081006526947021,-0.6609403
22,0.6405829191207886,-1.3377384
22,0.6828814744949341,-0.916838
22,0.7833992838859558,-0.76670104
23,0.13152429461479187,-0.4425132
23,0.21843835711479187,-0.42095718
23,0.26345789432525635,-0.9227291
23,0.2971367835998535,-0.77512413
23,0.32301753759384155,-0.996883
23,0.34624242782592773,-0.79958934
23,0.36725565791130066,-0.6619272
23,0.38638415932655334,-0.9302593
23,0.4022238254547119,-0.6688352
23,0.4192834198474884,-0.3697916
23,0.43925419449806213,-1.0086457
23,0.45775431394577026,-1.4695891
23,0.47280994057655334,-0.95906186
23,0.4897792935371399,-1.1920232
23,0.5054762959480286,-0.7710872
23,0.5245710611343384,-0.9868538
23,0.5434460043907166,-0.977141
23,0.5660976767539978,-0.85534453
23,0.5867835879325867,-1.4038495
23,0.612733006477356,-0.6410419
23,0.6441638469696045,-1.2612374
23,0.6870099902153015,-0.95523053
23,0.7862265706062317,-0.72675186
24,0.12947887182235718,-0.3666082
24,0.21540027856826782,-0.46109006
24,0.2594594657421112,-0.94425386
24,0.2931121289730072,-0.8357654
24,0.31843703985214233,-0.85479224
24,0.34122443199157715,-0.7914787
24,0.36146998405456543,-0.8778381
24,0.38093531131744385,-0.84262913
24,0.39669322967529297,-0.83905905
24,0.41196346282958984,-0.5723556
24,0.43017828464508057,-0.584221
24,0.4495702087879181,-1.1835351
24,0.4648621380329132,-1.3437159
24,0.4803203344345093,-0.7304241
24,0.49618226289749146,-1.2585407
24,0.5118478536605835,-0.76737154
24,0.5305610299110413,-1.0849364
24,0.5491359233856201,-0.88348883
24,0.5707482099533081,-1.21469
24,0.5910685062408447,-1.0117916
24,0.6170763969421387,-0.7272936
24,0.6474690437316895,-1.3343722
24,0.6906116008758545,-0.8799985
24,0.7884124517440796,-0.772932
25,0.12668879330158234,-0.30431405
25,0.2118283212184906,-0.5515632
25,0.25577685236930847,-0.9612234
25,0.288909912109375,-0.7966998
25,0.3139283061027527,-0.77853274
25,0.3362129032611847,-0.8907969
25,0.3565567135810852,-0.6975537
25,0.375309556722641,-0.6557553
25,0.3915400505065918,-0.9774449
25,0.4057534337043762,-0.7249916
25,0.42219820618629456,-0.34556293
25,0.4408451020717621,-1.0620929
25,0.45783329010009766,-1.4683107
25,0.47158002853393555,-0.84390205
25,0.4872136116027832,-0.9657858
25,0.5016516447067261,-1.3007139
25,0.5181311964988708,-0.6765373
25,0.5359134674072266,-1.0684878
25,0.5552517771720886,-0.8142311
25,0.5749090909957886,-1.2351933
25,0.5952855348587036,-1.0385251
25,0.6214114427566528,-0.64583474
25,0.6506624221801758,-1.3341789
25,0.6948693990707397,-0.90558153
25,0.7913056015968323,-0.76048535
