,RMSE
2,0.31557
3,0.3284
4,0.32258
5,0.33092
6,0.32837
7,0.30796
8,0.2924
9,0.30683
10,0.32997
11,0.35248
12,0.34338
13,0.36532
14,0.37431
15,0.37336
16,0.34045
17,0.37924
18,0.37517
19,0.36571
20,0.38596
21,0.381
22,0.36406
23,0.38815
24,0.36065
25,0.36366
