,RMSE
2,0.31557
3,0.34854
4,0.35157
5,0.3773
6,0.38185
7,0.37017
8,0.36992
9,0.37084
10,0.39996
11,0.4159
12,0.43446
13,0.45029
14,0.44392
15,0.43215
16,0.40271
17,0.4592
18,0.47455
19,0.46154
20,0.4808
21,0.49031
22,0.47387
23,0.49407
24,0.45528
25,0.47992
