,RMSE
2,0.70345
3,0.46186
4,0.43705
5,0.23181
6,0.10255
7,0.08145
8,0.46614
9,1.13927
10,1.45627
11,1.35553
12,1.31142
13,1.32028
14,1.23394
15,1.20611
16,1.20516
17,1.16635
18,1.14304
19,1.12248
20,1.12506
21,1.14408
22,1.15309
23,1.08349
