,RMSE
2,0.36328
3,0.41897
4,0.54015
5,0.61795
6,0.69033
7,0.7516
8,0.78625
9,0.83347
10,0.86552
11,0.89407
12,0.91928
13,0.95032
14,0.96524
15,0.98247
16,1.01622
17,1.04451
18,1.06796
19,1.07423
20,1.1121
21,1.12619
22,1.13733
23,1.1429
