,RMSE
2,0.63957
3,0.4765
4,0.34593
5,0.38889
6,0.35835
7,0.30379
8,0.25665
9,0.24723
10,0.26013
11,0.28295
12,0.27471
13,0.31129
14,0.26373
15,0.24639
16,0.22852
17,0.21955
18,0.22206
19,0.21769
20,0.20714
21,0.18348
22,0.19994
23,0.18506
24,0.21139
25,0.20193
