,RMSE
2,0.67146
3,0.76665
4,0.84164
5,0.64112
6,0.85279
7,1.15717
8,1.16446
9,1.13986
10,0.90423
11,0.87213
12,0.71582
13,0.80606
14,0.72449
15,0.76137
16,0.88341
17,0.90356
18,1.13179
19,1.15539
20,1.2107
21,1.16337
22,1.15005
23,1.14898
24,1.20974
25,1.14832
