,RMSE
2,0.20762
3,0.25052
4,0.27402
5,0.28702
6,0.29502
7,0.30167
8,0.30605
9,0.30594
10,0.30927
11,0.31093
12,0.31381
13,0.31575
14,0.31635
15,0.31726
16,0.31852
17,0.31951
18,0.32076
19,0.32104
20,0.32141
21,0.32192
22,0.32272
23,0.3229
24,0.32375
25,0.32473
26,0.32495
27,0.32489
28,0.32493
29,0.3254
30,0.32528
