,RMSE
2,0.60297
3,0.52692
4,0.47306
5,0.467
6,0.4481
7,0.44334
8,0.44042
9,0.43978
10,0.43792
11,0.4554
12,0.43609
13,0.45882
14,0.42916
15,0.44648
16,0.43926
17,0.45673
18,0.451
19,0.43132
20,0.43115
21,0.44613
22,0.45614
23,0.46871
24,0.45397
25,0.47043
