,RMSE
2,0.64595
3,0.26506
4,0.13264
5,0.13698
6,0.1859
7,0.22013
8,0.21908
9,0.25184
10,0.26775
11,0.26875
12,0.28242
13,0.30045
14,0.29874
15,0.30444
16,0.32428
17,0.32851
18,0.33856
19,0.347
20,0.35618
21,0.35587
22,0.3611
23,0.36247
