,RMSE
2,0.39066
3,0.54594
4,0.60725
5,0.4799
6,0.66663
7,0.90299
8,0.90308
9,0.90167
10,0.84225
11,0.82797
12,0.69727
13,0.78146
14,0.65329
15,0.70907
16,0.78615
17,0.80637
18,0.96203
19,0.9942
20,1.07039
21,1.02456
22,1.01057
23,1.00842
24,1.07127
25,1.02276
