,RMSE
2,0.37992
3,0.69411
4,0.91758
5,1.23299
6,1.34025
7,1.43232
8,1.4601
9,1.36352
10,1.50989
11,1.74367
12,1.78843
13,1.77818
14,1.77299
15,1.73658
16,1.67291
17,1.7365
18,1.7903
19,1.79311
20,1.78784
21,1.7806
22,1.68562
23,1.7103
