,RMSE
2,0.65037
3,0.97214
4,1.22464
5,1.55968
6,1.6122
7,1.65559
8,1.6521
9,1.50392
10,1.71692
11,2.05139
12,2.05951
13,2.03956
14,2.0183
15,1.97201
16,1.90849
17,1.9336
18,1.96502
19,1.95525
20,1.94138
21,1.9287
22,1.84462
23,1.8584
