,RMSE
2,0.41914
3,0.27594
4,0.27823
5,0.29372
6,0.30559
7,0.31178
8,0.30915
9,0.31264
10,0.31139
11,0.31034
12,0.31379
13,0.31594
14,0.3176
15,0.31847
16,0.31927
17,0.31935
18,0.31443
19,0.31439
20,0.31446
21,0.31557
22,0.31537
23,0.31543
24,0.31635
25,0.3172
26,0.31812
27,0.31776
28,0.3174
29,0.31883
30,0.3191
