,RMSE
2,1.20534
3,0.64568
4,0.61095
5,0.3334
6,0.1351
7,0.11168
8,0.67191
9,1.71184
10,2.2519
11,2.12905
12,2.03977
13,2.0152
14,1.92981
15,1.8701
16,1.85381
17,1.78054
18,1.73044
19,1.69003
20,1.66802
21,1.64746
22,1.62495
23,1.56748
