,RMSE
2,1.21304
3,0.81001
4,0.5941
5,0.60402
6,0.52811
7,0.4905
8,0.44792
9,0.44325
10,0.44051
11,0.44235
12,0.45263
13,0.45634
14,0.42355
15,0.44972
16,0.4225
17,0.41668
18,0.44504
19,0.45421
20,0.4528
21,0.43189
22,0.46331
23,0.44594
24,0.46367
25,0.46442
