,RMSE
2,0.41913
3,0.38379
4,0.37767
5,0.3714
6,0.36531
7,0.36197
8,0.35947
9,0.35449
10,0.35312
11,0.35092
12,0.35006
13,0.34861
14,0.34676
15,0.34596
16,0.34508
17,0.34423
18,0.34364
19,0.34314
20,0.34258
21,0.34204
22,0.34174
23,0.34129
24,0.34078
25,0.34049
26,0.34007
27,0.33971
28,0.33944
29,0.33907
30,0.33875
