,RMSE
2,0.22588
3,0.17854
4,0.20807
5,0.24026
6,0.26269
7,0.27654
8,0.28279
9,0.29079
10,0.29454
11,0.29668
12,0.30118
13,0.30497
14,0.30765
15,0.30977
16,0.31111
17,0.31175
18,0.31044
19,0.3113
20,0.31181
21,0.31325
22,0.31337
23,0.31359
24,0.31452
25,0.31558
26,0.31654
27,0.31625
28,0.31601
29,0.31752
30,0.31764
