N_DISC,T,estimated_epo,CI_lower_bound,CI_upper_bound
2,0.38525450229644775,4.6877537,4.647933006286621,4.726289749145508
2,0.6391196250915527,5.2621846,5.221219062805176,5.302318572998047
3,0.34016382694244385,4.465437,4.431975364685059,4.498860836029053
3,0.5104092955589294,5.0591063,5.02562952041626,5.094404697418213
3,0.6859854459762573,5.3915224,5.356982707977295,5.426522254943848
4,0.3115285038948059,4.4250765,4.394133567810059,4.457309722900391
4,0.458980530500412,4.766213,4.735055923461914,4.798318386077881
4,0.5630283951759338,5.105938,5.075063228607178,5.137786865234375
4,0.7152109146118164,5.625712,5.593156814575195,5.659407138824463
