,RMSE
2,1.5008
3,0.9091
4,0.8469
5,0.6364
6,0.8001
7,0.7414
8,0.6646
9,0.8079
10,1.0506
11,2.3129
12,2.4313
13,2.1722
14,2.619
15,3.3599
