,RMSE
16,0.0693
17,0.0762
18,0.1583
19,0.1735
20,0.1769
21,0.1781
22,0.1932
23,0.195
24,0.1892
25,0.1941
26,0.1885
27,0.1844
28,0.1926
29,0.1978
30,0.2205
